,sub,run,cat_cond,trial_type,picture,old,response_old,target_pos,response_pos,minimum_error,dot_resp_loc,cat_corr,TN_corr,TN_rt,feedback_type,trial,SP_peak_response,FB_peak_response,preStim_bl,anticipation
2342,035,2,2,csp,46b.png,1,1,168,177,9,163,1,1,396,pos_feedback_onset,5,5.874869310476908,2.6841517631401155,4.83015,0.12873
2343,035,2,2,csm,24a.png,1,1,0,227,-133,359,1,1,297,neu_feedback_onset,6,16.18891671689672,0.5559826180092122,4.653585000000001,
2344,035,2,2,csp,50b.png,1,1,152,169,17,149,1,1,378,pos_feedback_onset,7,2.336327603720602,6.68713615586298,5.0207,0.341054999999999
2345,035,2,2,csm,8a.png,1,0,112,NaN,NaN,110,1,1,378,neu_feedback_onset,8,17.07481903192295,3.0077788147560174,4.587135000000001,-0.01857500000000112
2346,035,2,2,csm,22a.png,1,1,260,132,-128,260,1,1,398,neu_feedback_onset,9,3.5827831782502373,2.898396094765944,4.8092500000000005,0.2978949999999996
2347,035,2,2,csp,42b.png,1,1,72,270,-162,73,1,1,317,pos_feedback_onset,10,13.514505227191549,4.475062978887905,4.632985,0.10859500000000022
2348,035,2,2,csp,61b.png,1,1,28,88,60,33,1,1,271,pos_feedback_onset,11,11.423071320476822,-0.20014452046966374,4.94276,-0.7566899999999999
2349,035,2,2,csp,4b.png,1,1,104,88,-16,106,1,1,303,pos_feedback_onset,12,9.857318061365266,10.213123993466343,4.5661000000000005,0.5045399999999987
2350,035,2,2,csm,61a.png,1,1,24,316,-68,25,1,1,416,neu_feedback_onset,13,28.494881741634973,4.699906197209094,4.0640600000000004,-0.23751499999999925
2351,035,2,2,csm,41a.png,1,1,204,360,156,204,1,1,562,neu_feedback_onset,14,26.022912228443573,2.157515724858424,3.9782250000000006,-0.11284500000000008
2352,035,3,2,csm,21a.png,1,1,88,177,89,87,1,1,471,neu_feedback_onset,1,1.7826122490145113,3.9292093023255625,5.750829999999999,-0.18759500000000084
